Name,Business Description,Category,Zoning,DataParsing.Address,Neighbourhood,Neighbourhood ID,Latitude,Longitude,Point
CROMDALE LIQUOR STORE,Alcohol Sales,Alcohol Sales (Consumption Off Premises),RA7 CB2,11723 - 82 STREET NW,PARKDALE,1160,53.56965444785372,-113.4663962,POINT (-113.466396197168 53.569654447854)
G & R LIQUOR MART,,Alcohol Sales (Consumption Off Premises),CMU,9906 - 109 STREET NW,DOWNTOWN,1090,53.537570925020994,-113.5087635,POINT (-113.508763462947 53.537570925021)
ACE LIQUOR DISCOUNTER AT SUMMERSIDE,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,1124 - 91 STREET SW,ELLERSLIE INDUSTRIAL,6214,53.42368025,-113.4755922,POINT (-113.475592152867 53.423680250415)
SAFEWAY WINE & SPIRITS,Retail Liquor Store,Alcohol Sales (Consumption Off Premises) Minor Retail Store,CSC,12807 - 140 AVENUE NW,PEMBINA,3340,53.60105688,-113.5429659,POINT (-113.542965892923 53.601056880845)
ACE LIQUOR DISCOUNTER AT FOREST HEIGHTS,Liquor Store,Alcohol Sales (Consumption Off Premises),DC2,7842 - 106 AVENUE NW,FOREST HEIGHTS,6230,53.54963823458446,-113.4488054,POINT (-113.448805403741 53.549638234584)
LIQUOR SPOT,Alcohol sales,Alcohol Sales (Consumption Off Premises),CSC,17110 - 90 AVENUE NW,SUMMERLEA,4520,53.525262610723566,-113.6195517,POINT (-113.619551728472 53.525262610724)
EC WINES & SPIRITS,,Alcohol Sales (Consumption Off Premises) Minor Retail Store,DC2,9921 - 170 STREET NW,GLENWOOD,4180,53.53828704016251,-113.613886,POINT (-113.613886034379 53.538287040163)
ECONO LIQUOR #6,Liquor Store,Alcohol Sales (Consumption Off Premises),CB2,4313 - 167 AVENUE NW,BRINTNELL,2110,53.62809506,-113.4067452,POINT (-113.406745243399 53.628095057743)
LIQUOR WAY,Liquor Store,Alcohol Sales (Consumption Off Premises),CB1,9444 - 149 STREET NW,SHERWOOD,4500,53.53129212095729,-113.5785359,POINT (-113.578535894091 53.531292120957)
WHISKY DROP,Retail Liquor Store,Alcohol Sales (Consumption Off Premises),IB,11752 - 149 STREET NW,GARSIDE INDUSTRIAL,4170,53.56981063104111,-113.5787592,POINT (-113.578759215661 53.569810631041)
LIQUOR HOUSE,Liquor Store,Alcohol Sales (Consumption Off Premises),DC1,11314 - JASPER AVENUE NW,OLIVER,1150,53.54119299337309,-113.5162148,POINT (-113.516214828366 53.541192993373)
156 STREET LIQUOR STORE,LIquor Store,Alcohol Sales (Consumption Off Premises),CB1,10149 - 156 STREET NW,CANORA,4090,53.54301163698008,-113.5898274,POINT (-113.589827378995 53.54301163698)
ARGYLL LIQUOR VILLAGE,Liquor Sales,Alcohol Sales (Consumption Off Premises) Minor Retail Store,IB,8305 - ARGYLL ROAD NW,CORONET ADDITION INDUSTRIAL,6090,53.502171451188254,-113.4537166,POINT (-113.45371661491 53.502171451188)
LIQUOR HOUSE,,Alcohol Sales (Consumption Off Premises),CB1,6508 - 170 AVENUE NW,MCCONACHIE AREA,2521,53.632946963591735,-113.4417157,POINT (-113.441715744947 53.632946963592)
ACE LIQUOR AT TERRA LOSA,Retail Liquor Store,Alcohol Sales (Consumption Off Premises),DC1,9500 - 170 STREET NW,TERRA LOSA,4540,53.53368902818615,-113.6173859,POINT (-113.617385892975 53.533689028186)
#1 LIQUOR MERCHANTS,Liquor Store,Alcohol Sales (Consumption Off Premises),CB1,10410 - 107 AVENUE NW,CENTRAL MCDOUGALL,1030,53.551656941067904,-113.4997676,POINT (-113.499767620871 53.551656941068)
FIRST LIQUOR,Retail Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,102 3342 - PARSONS ROAD NW,PARSONS INDUSTRIAL,6570,53.46707483705071,-113.4869788,POINT (-113.486978842216 53.467074837051)
LIQUOR HUB DISCOUNTER,Retail Liquor Store,Alcohol Sales (Consumption Off Premises),DC2,15317 - 97 STREET NW,EAUX CLAIRES,2241,53.61473411271844,-113.4903929,POINT (-113.490392868939 53.614734112718)
MINHAS COLD BEER SPIRITS WINE,Liquor retail,Alcohol Sales (Consumption Off Premises),IB,4234 - 99 STREET NW,STRATHCONA INDUSTRIAL PARK,6700,53.479387004761364,-113.4874937,POINT (-113.487493723728 53.479387004761)
VINES OF RIVERBEND #531,Liquor Store,Alcohol Sales (Consumption Off Premises),DC2 CSC,2331 - RABBIT HILL ROAD NW,HODGSON,5620,53.45509689655368,-113.5635231,POINT (-113.563523119576 53.455096896554)
LIQUOR HUT EDMONTON,Liquor store Operate 7 days week. Closed on xmas day only,Alcohol Sales (Consumption Off Premises),DC2,20922 - 62 AVENUE NW,GRANVILLE,4551,53.49813468240211,-113.6823883,POINT (-113.682388261105 53.498134682402)
ACE LIQUOR DISCOUNTER AT GLASTONBURY,LIQUOR STORE,Alcohol Sales (Consumption Off Premises),CSC,6242 - 199 STREET NW,GLASTONBURY,4720,53.49500743292479,-113.6670915,POINT (-113.667091474507 53.495007432925)
ACE LIQUOR DISCOUNTER AT 50TH STREET MARKET,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,4857 - 167 AVENUE NW,BRINTNELL,2110,53.62761774302375,-113.4099749,POINT (-113.409974912475 53.627617743024)
